Book,Author,Published,Fiction/Nonfiction,Year Read,Rating
Mindless Eating: Why We Eat More Than We Think,Brian Wansink,2006,Non-Fiction,2024,4.25
Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of his Time,Dava Sobel,1995,Non-Fiction,2024,3.75
Working in Public: The Making and Maintenance of Open Source Software,Nadia Eghbal,2020,Non-Fiction,2024,3.25
Make It Stick: The Science of Successful Learning,"Mark A. McDaniel, Peter C. Brown, Henry L. Roediger III",2014,Non-Fiction,2024,4.25
I Am Legend,Richard Matheson,1954,Fiction,2024,2.25
Children of Memory [Children of Time #3],Adrian Tchaikovsky,2022,Fiction,2024,4
Trillions: How a Band of Wall Street Renegades Invented the Index Fund and Changed Finance Forever,Robin Wigglesworth,2021,Non-Fiction,2024,4.25
Stories of Your Life and Others,Ted Chiang,2002,Fiction,2024,4.5
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,2023,Non-Fiction,2024,4.25
"The Daily Stoic: 366 Meditations on Wisdom, Perserverance, and the Art of Living","Stephen Hanselman, Ryan Holiday",2016,Non-Fiction,2023,4
"A Calendar of Wisdom: Daily Thoughts to Nourish the Soul, Written and Selected from the World's Sacred Texts",Leo Tolstoy,1906,Non-Fiction,2023,3.5
We're Parents! The New Dad Book for Baby's First Year: Everything You Need to Know to Survive and Thrive Together,Adrian Kulp,2019,Non-Fiction,2023,3.25
The Greatest Salesman in the World,Og Mandino,1968,Fiction,2023,2.5
On Writing: A Memoir of the Craft,Stephen King,2000,Non-Fiction,2023,4.5
The Expectant Father: The Ultimate Guide for Dads-to-Be,"Armin A. Brott, Jennifer Ash",1995,Non-Fiction,2023,3.75
Mr. China: A Memoir,Tim Clissold,2006,Fiction,2023,3.75
Children of Rune [Children of Time #2],Adrian Tchaikovsky,2019,Fiction,2023,4.25
Exhalation,Ted Chiang,2019,Fiction,2023,5
Monkey King: Journey to the West [Translated by Julia Lovell],Wu Ch'eng-En,1592,Fiction,2023,4.25
Children of Time [Children of Time #1],Adrian Tchaikovsky,2015,Fiction,2023,4.75
Kingdom of Characters: The Language Revolution That Made China Modern,Jing Tsu,2022,Non-Fiction,2023,3.25
Number Go Up: Inside Crypto's Wild Rise and Staggering Fall,Zeke Faux,2023,Non-Fiction,2023,4.25
"Red Roulette: An Insider's Story of Wealth, Power, Corruption and Vengeance in Today's China",Desmond Shum,2021,Non-Fiction,2023,4
Going Infinite: The Rise and Fall of a New Tycoon,Michael Lewis,2023,Non-Fiction,2023,3.75
Chip War: The Fight for the World's Most Critical Technology,Chris Miller,2022,Non-Fiction,2023,4
"I Will Teach You to Be Rich, Second Edition: No Guilt. No Excuses. No Bs. Just a 6-Week Program That Works",Ramit Sethi,2009,Non-Fiction,2023,3.75
Sea of Tranquility,Emily St. John Mandel,2022,Fiction,2023,4.25
White Noise ,Don DeLillo,1985,Fiction,2023,3.5
Drive: The Surprising Truth about What Motivates Us,Daniel H. Pink,2009,Non-Fiction,2023,3.5
Death's End [Rememberance of Earth's Past #3],Cixin Liu,2010,Fiction,2023,4.75
Homage to Catalonia,George Orwell,1938,Non-Fiction,2023,3.75
Mistborn [Mistborn #1],Brandon Sanderson,2006,Fiction,2023,3.25
Postcards from Tomorrow Square: Reports from China,James M. Fallows,2008,Non-Fiction,2023,3.25
The Lost City of Z: A Tale of Deadly Obsession in the Amaazon,David Grann,2009,Non-Fiction,2023,4
"Fatherhood: A Comprehensive Guide to Birth, Budgeting, Finding Flow, and Becoming a Happy Parent",Fatherly,2021,Non-Fiction,2023,3.75
One Flew Over the Cuckoo's Nest,Ken Kesey,1962,Fiction,2023,4
The Four Treasures: Inside the Scholar's Studio,Wei Zhang,2004,Non-Fiction,2023,1.5
Last Boat Out of Shanghai: The Epic Story of the Chinese Who Fled Mao's Revolution,Helen Zia,2019,Non-Fiction,2023,4.75
Jurassic Park,Michael Crichton,1990,Fiction,2023,3.5
"Trout Fishing in America, the Pill Versus the Springhill Mine Disaster, and in Watermelon Sugar",Richard Brautigan,1989,Fiction,2023,3.25
Frozen in Time: An Epic Story of Survival and a Modern Quest for Lost Heroes of World War II,Mitchell Zuckoff,2013,Non-Fiction,2023,3.75
The Return of the King [The Lord of the Rings #3],J.R.R. Tolkien,1955,Fiction,2023,4.5
The Two Towers [The Lord of the Rings #2],J.R.R. Tolkien,1954,Fiction,2023,4.75
The New Dad's Playbook: Gearing Up for the Biggest Game of Your Life,Benjamin Watson,2017,Non-Fiction,2023,3.25
"Dude, You're Gonna Be a Dad! How to Get (Both of You) Through the Next 9 Months",John Pfeiffer,2011,Non-Fiction,2023,2
Moneyball: The Art of Winning an Unfair Game,Michael Lewis,2003,Non-Fiction,2023,4.5
"The Club: How the English Premier League Became the Wildest, Richest, Most Disruptive Force in Sports","Jonathan Clegg, Joshua Robinson",2018,Non-Fiction,2023,4
Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,"Eric Schmidt, Jonathan Rosenberg, Alan Eagle",2019,Non-Fiction,2023,4.25
Billion Dollar Loser: The Epic Rise and SPectacular Fall of Adam Neumann and WeWork,Reeves Wiedeman,2020,Non-Fiction,2023,4
Eat & Run: My Unlikely Journey to Ultramarathon Greatness,Scott Jurek,2012,Non-Fiction,2023,4
The Fellowship of the Ring [The Lord of the Rings #1] ,J.R.R. Tolkien,1954,Fiction,2023,4.75
"Finding Ultra: Rejecting Middle Age, Becoming One of the World's Fittest Men, and Discovering Myself",Rich Roll,2012,Non-Fiction,2023,4
The Hard Thing About Hard Things: Building A Business When There Are No Easy Answers,Ben Horowitz,2014,Non-Fiction,2023,4.25
The Hobbit [The Lord of the Rings #0],J.R.R. Tolkien,1937,Fiction,2023,4.5
The Mamba Mentality: How I Play,Kobe Bryant,2018,Non-Fiction,2023,3.75
"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World","Bradley Hope, Tom Wright",2018,Non-Fiction,2023,4
Flatland: A Romance of Many Dimensions,Edwin A. Abbott,1884,Fiction,2023,4.25
The Hound of Baskervilles [Sherlock Holmes #5],Arthur Conan Doyle,1902,Fiction,2023,4
Solaris,Stanislaw Lem,1961,Fiction,2023,3.5
The Metamorphosis [AmazonClassics Edition],Franz Kafka,1915,Fiction,2023,3.5
Breakfast of Champions,Kurt Vonnegut,1973,Fiction,2023,4
"Invent and Wander: The Collected Writings of Jess Bezos, With an Introduction by Walter Isaacson","Jeff Bezos, Walter Isaacson",2020,Non-Fiction,2023,3.5
The Sirens of Titan,Kurt Vonnegut,1959,Fiction,2023,4
Liar's Poker [Liar's Poker #1],Michael Lewis,1989,Non-Fiction,2023,4.5
Daemon [Daemon #1],Daniel Suarez,2006,Fiction,2023,3.25
Surely You're Joking Mr Feynman: Adventures of a Curious Character,Richard P. Feynman,1985,Non-Fiction,2023,4.5
The Big Short: Inside the Doomsday Machine [Liar's Poker #2],Michael Lewis,2009,Non-Fiction,2023,4.5
